Rank,Country,,Loss of life expectancy,,,
1, Bangladesh,54.17,−4.82,,,
2, India,41.39,−3.57,,,
3, Nepal,39.18,−3.32,,,
4, Qatar,39.16,−3.35,,,
5, Pakistan,38.9,−3.32,,,Found: https://en.wikipedia.org/wiki/List_of_countries_by_air_pollution
6, Democratic Republic of the Congo,34.2,−2.86,,,
7, Burundi,34.04,−2.85,,,
8, Rwanda,33.37,−2.78,,,
9, Equatorial Guinea,32.87,−2.73,,,
10, Cameroon,32.58,−2.70,,,
11, Republic of the Congo,31.94,−2.64,,,
12, Iraq,32.42,−2.69,,,
13, Mongolia,30.1,−2.46,,,
14, Bolivia,29.63,−2.41,,,
15, Myanmar,28.64,−2.32,,,
16, China,28.18,−2.27,,,
17, Lesotho,27.87,−2.24,,,
18, Uganda,27.81,−2.24,,,
19, Saudi Arabia,27.5,−2.20,,,
20, El Salvador,27.43,−2.20,,,
21, Gabon,25.65,−2.02,,,
22, Peru,25.48,−2.01,,,
23, Guatemala,25.13,−1.97,,,
24, Nigeria,25.02,−1.96,,,
25, Central African Republic,24.99,−1.96,,,
26, Honduras,24.52,−1.91,,,
27, Bosnia and Herzegovina,23.93,−1.86,,,
28, Vietnam,23.58,−1.82,,,
29, Laos,23.53,−1.82,,,
30, South Africa,23.26,−1.75,,,
31, Chile,22.84,−0.91,,,
32, Syria,22.82,−1.75,,,
33, Bhutan,22.78,−1.74,,,
34, Bahrain,22.75,−1.74,,,
35, Zambia,22.18,−1.68,,,
36, Kuwait,21.77,−1.64,,,
37, Thailand,21.15,−1.58,,,
38, Turkey,21.1,−1.58,,,
39, Angola,21.07,−1.57,,,
40, South Korea,20.82,−1.55,,,
41, United Arab Emirates,20.71,−1.54,,,
42, Jordan,19.7,−1.44,,,
43, Armenia,19.51,−1.42,,,
44, Philippines,19.17,−1.39,,,
45, Egypt,19.16,−1.39,,,
46, Sri Lanka,19.13,−1.38,,,
47, North Macedonia,19.02,−1.37,,,
48, Bulgaria,18.86,−1.36,,,
49, Iran,18.8,−1.35,,,
50, Uzbekistan,18.64,−1.34,,,
51, Lebanon,18.62,−1.33,,,
52, North Korea,18.6,−1.33,,,
53, Djibouti,18.43,−1.32,,,
54, Ecuador,18.32,−1.31,,,
55, Indonesia,18.25,−1.30,,,
56, Tanzania,18.17,−1.29,,,
57, Malawi,17.61,−1.24,,,
58, Benin,17.31,−1.21,,,
