Country,Freedom Index,,
Finland,100,,
New Zealand,99,,
Sweden,99,,
Canada,97,,
Denmark,97,,Found: https://worldpopulationreview.com/country-rankings/freedom-index-by-country
Ireland,97,,
Luxembourg,97,,
Netherlands,97,,
San Marino,97,,
Belgium,96,,
Japan,96,,
Portugal,96,,
Slovenia,96,,
Switzerland,96,,
Uruguay,96,,
Australia,95,,
Estonia,95,,
Chile,94,,
Iceland,94,,
Taiwan,94,,
Barbados,94,,
Andorra,93,,
Austria,93,,
Dominica,93,,
Germany,93,,
Marshall Islands,93,,
Tuvalu,93,,
Bahamas,91,,
Costa Rica,91,,
United Kingdom,91,,
Cape Verde,92,,
Cyprus,92,,
Micronesia,92,,
Palau,92,,
Saint Lucia,92,,
France,89,,
Grenada,89,,
Lithuania,89,,
Saint Kitts and Nevis,89,,
Italy,90,,
Kiribati,90,,
Liechtenstein,90,,
Saint Vincent and the Grenadines,90,,
Slovakia,90,,
Spain,90,,
Argentina,85,,
Antigua and Barbuda,85,,
Greece,85,,
Mauritius,85,,
United States,83,,
Croatia,83,,
Panama,83,,
Romania,83,,
South Korea,83,,
Mongolia,84,,
Sao Tome and Principe,84,,
Samoa,84,,
Tonga,81,,
Ghana,80,,
Jamaica,80,,
Poland,80,,
Suriname,79,,
Seychelles,79,,
South Africa,79,,
Bulgaria,78,,
Botswana,72,,
Brazil,72,,
Timor-Leste,72,,
Solomon Islands,75,,
Namibia,77,,
Nauru,77,,
Israel,74,,
Guyana,73,,
Colombia,70,,
Montenegro,69,,
Albania,68,,
Dominican Republic,68,,
Senegal,67,,
North Macedonia,67,,
Ecuador,67,,
Peru,66,,
Lesotho,66,,
Malawi,66,,
Bolivia,66,,
India,66,,
Fiji,66,,
Bhutan,63,,
Paraguay,63,,
Nepal,62,,
Papua New Guinea,61,,
Benin,61,,
Moldova,61,,
Mexico,60,,
Sierra Leone,60,,
Philippines,58,,
Madagascar,58,,
Georgia,58,,
Sri Lanka,57,,
Indonesia,57,,
Serbia,57,,
Armenia,54,,
Zambia,54,,
Malaysia,53,,
El Salvador,53,,
Kenya,52,,
Bosnia and Herzegovina,51,,
Tunisia,51,,
Gambia,50,,
Ivory Coast,49,,
Ukraine,49,,
Honduras,48,,
Singapore,48,,
Guatemala,46,,
Liberia,64,,
Hungary,65,,
Turkey,33,,
Jordan,33,,
Niger,33,,
Pakistan,35,,
Tanzania,36,,
Thailand,36,,
Morocco,37,,
Kuwait,38,,
Mauritania,39,,
Bangladesh,40,,
Hong Kong,41,,
Comoros,42,,
Lebanon,42,,
Togo,42,,
Guinea-Bissau,43,,
Nigeria,44,,
Mozambique,44,,
Maldives,44,,
Algeria,32,,
Iraq,30,,
Guinea,30,,
Haiti,30,,
Brunei,28,,
Angola,28,,
Zimbabwe,27,,
Kyrgyzstan,27,,
Burkina Faso,27,,
Mali,26,,
Qatar,25,,
Oman,24,,
Djibouti,24,,
Kazakhstan,23,,
Cambodia,23,,
Rwanda,23,,
Gabon,20,,
Ethiopia,20,,
Vietnam,19,,
DR Congo,19,,
Egypt,18,,
United Arab Emirates,18,,
Republic of the Congo,17,,
Eswatini,17,,
Venezuela,15,,
Cameroon,15,,
Chad,15,,
Nicaragua,16,,
Burundi,14,,
Laos,13,,
Russia,13,,
Bahrain,12,,
Cuba,12,,
Uzbekistan,12,,
Iran,11,,
Yemen,10,,
Libya,9,,
China,9,,
Saudi Arabia,8,,
Somalia,8,,
Myanmar,8,,
Belarus,8,,
Azerbaijan,7,,
Sudan,6,,
Afghanistan,6,,
Tajikistan,5,,
Central African Republic,5,,
Equatorial Guinea,5,,
Western Sahara,4,,
North Korea,3,,
Eritrea,3,,
Turkmenistan,2,,
South Sudan,1,,
Syria,1,,
